video_id,translated_description
76ec80b7a2aafcf5a33b61cc9c298cb2,"черно-белое фото человека в костюме, два человека, стоящих в песке с факелами, мужчина, стоящий в темноте с факелами позади него, мужчина, держащий микрофон перед огнем."
bfb52b8a50a2034704dd08473c17ec6b,"черный фон с белыми линиями, двое мужчин на кухне готовят еду, двое мужчин сидят за столом, едят мясо на плите, два яйца жарятся в сковородке на плите, сковородка с мясом и овощами."
1371a8d3b78c2e724e4a10064e0c14b1,"синий и красный свет в темноте, мужчина в красной куртке идет по коридору, компьютер сидит на деревянном столе, мужчина сидит за столом перед ноутбуком, двое молодых людей стоят рядом друг с другом."
4dddf7e1d2686d40ecc9b4c8a7a2b1c2,"черный фон с белыми линиями на нем, мужчина, сидящий за столом перед компьютером, группа людей, сидящих вокруг стола, и человек, стоящий на обочине дороги."
dc64cde6c0c15ba71ce648e778e9490f,"человек, стоящий на тротуаре перед зданием, две женщины сидящие в стульях в темной комнате, женщина, сидящая в стуле и разговаривающая с другой женщиной, мужчина, сидящий на диване в гостиной."
fdab98598407b22bdf49891fe3c02a60,"черная дыра в центре розового фона, женщина в желтой рубашке улыбается в камеру, женщина с длинными светлыми волосами в желтом свитере, мужчина в синей рубашке держит микрофон, фото двух мужчин, играющих в баскетбол в комнате."
975f32a24cb025fdbb39c71a9bce4d6f,"Женщина, стоящая рядом с коричневой лошадью, бизон стоит в стеклянной оболочке, черная и белая фотография двух обезьян, мужчину и женщину, стоящих перед аквариумом."
c02e68f64c25f55afb78ba5f7c8b66bc,"Доска с белой надписью на ней, женщина, сидящая за столом с компьютером, мужчина, стоящий перед картиной, человек, держащий планшет со свечами на нём."
a0fc183f8d20199569310a7b1e34208e,"Старый телевизор с мужчиной на нем, мужчина в чёрной толстовке держит компьютер, а мужчина сидит на стуле в спортзале, мужчина в красном костюме пинает футбольный мяч, мужчина в красной рубашке стоит на кухне и мужчина в красной толстовке наливает что-то в смесь."
72ad592130deb113cae8478fe8b74e78,"Женщина с розовыми волосами сидящая на стуле, стоящая перед манной, две женщины сидящие за столом в комнате и две женщины разговаривающие друг с другом."
f9f04e67e34a955e458f93092a9f1efb,"Телевидение показывает мужчину на сцене, мужчина носит красную рубашку, мужчина в красной куртке идет по улице, женщина сидит за столом перед рождественским деревом."
